                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                0.55424,                0.40931,                 0.9329,                0.93219,                 0.9375,                0.94572,                 0.8028,                0.70545,                0.38517,                 1.0184,              0.0069508,              0.0069508,              0.0069508
                    157,                0.56818,                0.41823,                0.94515,                0.93237,                0.93651,                0.95478,                0.81229,                0.69015,                0.35139,                0.99975,               0.006931,               0.006931,               0.006931
                    158,                0.55449,                0.41018,                0.93182,                0.94017,                0.94942,                0.95689,                0.81239,                0.69984,                0.34171,                 1.0139,              0.0069112,              0.0069112,              0.0069112
                    159,                 0.5554,                0.40528,                0.93261,                0.92489,                0.95628,                 0.9602,                 0.8097,                0.71939,                0.34793,                 1.0276,              0.0068914,              0.0068914,              0.0068914
                    160,                0.54017,                0.39358,                0.92578,                0.95041,                0.92128,                0.95189,                0.80836,                0.72682,                 0.3687,                 1.0139,              0.0068716,              0.0068716,              0.0068716
                    161,                0.54901,                0.41579,                0.93404,                0.93845,                0.94009,                0.95009,                0.81704,                0.72482,                0.36492,                 1.0224,              0.0068518,              0.0068518,              0.0068518
                    162,                0.55961,                0.41889,                0.93326,                0.94726,                0.94036,                0.96236,                0.82069,                0.69607,                0.36266,                 1.0074,               0.006832,               0.006832,               0.006832
                    163,                0.53171,                0.39272,                0.91839,                0.92615,                 0.9466,                0.95499,                0.81184,                0.70044,                0.39582,                 1.0103,              0.0068122,              0.0068122,              0.0068122
                    164,                0.55482,                0.41161,                0.92909,                0.91492,                0.94927,                0.95934,                0.81647,                0.73941,                0.38359,                  1.036,              0.0067924,              0.0067924,              0.0067924
                    165,                0.54857,                0.40869,                0.93143,                0.90993,                 0.9457,                0.94903,                 0.8119,                0.70919,                0.43833,                 1.0201,              0.0067726,              0.0067726,              0.0067726
                    166,                0.54205,                0.40887,                 0.9298,                0.93823,                0.92586,                0.96275,                0.82033,                0.72006,                 0.3849,                 1.0299,              0.0067528,              0.0067528,              0.0067528
                    167,                0.54562,                0.40406,                0.92479,                0.94444,                0.93717,                0.95714,                 0.8105,                0.72932,                0.37174,                 1.0387,               0.006733,               0.006733,               0.006733
                    168,                0.53977,                0.40234,                0.93229,                0.94894,                0.93432,                0.95377,                0.80821,                0.73395,                0.49867,                 1.0227,              0.0067132,              0.0067132,              0.0067132
                    169,                 0.5295,                0.39908,                0.92031,                0.93108,                0.95754,                0.95978,                0.81352,                0.71007,                0.36221,                 1.0314,              0.0066934,              0.0066934,              0.0066934
                    170,                0.53365,                0.39367,                0.92097,                0.95387,                0.92664,                0.96343,                 0.8134,                0.71332,                 0.3628,                 1.0283,              0.0066736,              0.0066736,              0.0066736
                    171,                0.54179,                0.40302,                0.92879,                0.94953,                0.93015,                0.95931,                0.81382,                0.69103,                0.36736,                 1.0166,              0.0066538,              0.0066538,              0.0066538
                    172,                0.54455,                0.40215,                 0.9252,                 0.9433,                0.94837,                0.95489,                0.81329,                0.73093,                0.35617,                 1.0392,               0.006634,               0.006634,               0.006634
                    173,                  0.548,                0.40068,                0.92999,                0.93955,                0.94857,                0.95969,                0.81789,                0.71697,                0.34227,                 1.0156,              0.0066142,              0.0066142,              0.0066142
                    174,                0.55257,                0.40221,                0.92552,                0.92521,                0.93869,                 0.9574,                0.81123,                0.75689,                0.37231,                 1.0445,              0.0065944,              0.0065944,              0.0065944
                    175,                0.52871,                0.38712,                0.92198,                0.93521,                0.95325,                0.95428,                0.80705,                0.72701,                0.34711,                 1.0387,              0.0065746,              0.0065746,              0.0065746
                    176,                0.53052,                0.39999,                0.92009,                0.94194,                0.92859,                0.95725,                0.80692,                  0.717,                0.37826,                 1.0272,              0.0065548,              0.0065548,              0.0065548
                    177,                0.53668,                0.38504,                 0.9266,                0.93892,                0.93736,                0.95669,                0.81301,                0.69578,                0.38168,                 1.0107,               0.006535,               0.006535,               0.006535
                    178,                0.56579,                0.41527,                 0.9417,                0.92275,                0.94277,                0.95878,                0.81819,                0.70483,                0.36152,                 1.0198,              0.0065152,              0.0065152,              0.0065152
                    179,                0.53115,                0.40713,                0.91677,                0.93637,                0.93371,                0.96146,                0.81871,                0.72761,                0.37838,                 1.0448,              0.0064954,              0.0064954,              0.0064954
                    180,                0.52908,                0.38927,                0.92308,                0.93795,                0.94953,                0.96094,                0.81729,                0.72843,                0.35956,                 1.0395,              0.0064756,              0.0064756,              0.0064756
                    181,                0.52079,                0.37669,                0.92006,                0.93581,                0.94939,                0.95982,                0.81836,                0.72451,                0.35673,                 1.0382,              0.0064558,              0.0064558,              0.0064558
                    182,                0.53255,                0.40288,                0.92612,                0.93647,                0.94754,                0.96204,                0.81695,                0.72639,                0.36054,                 1.0322,               0.006436,               0.006436,               0.006436
                    183,                0.53489,                0.40372,                 0.9268,                0.92219,                0.91914,                0.95024,                0.80302,                0.71565,                0.37647,                 1.0211,              0.0064162,              0.0064162,              0.0064162
                    184,                0.51446,                0.38337,                0.92505,                0.92465,                0.95301,                0.96136,                0.81037,                0.74855,                0.36228,                 1.0484,              0.0063964,              0.0063964,              0.0063964
                    185,                0.53203,                0.38346,                0.92639,                0.93541,                0.95183,                0.95869,                0.81477,                0.73682,                0.36646,                 1.0385,              0.0063766,              0.0063766,              0.0063766
                    186,                0.51778,                0.37925,                0.91799,                0.93885,                0.94133,                0.95265,                0.80599,                0.72586,                0.37198,                 1.0327,              0.0063568,              0.0063568,              0.0063568
                    187,                0.52084,                0.37615,                0.91806,                0.93756,                 0.9532,                0.96054,                0.81704,                0.68718,                0.37101,                 1.0155,               0.006337,               0.006337,               0.006337
                    188,                0.53136,                0.38757,                0.92418,                0.93621,                0.93768,                0.96536,                0.81619,                0.70525,                0.34897,                  1.017,              0.0063172,              0.0063172,              0.0063172
                    189,                0.50864,                0.37085,                0.92093,                0.93884,                0.94138,                0.96324,                0.81226,                0.74195,                0.36194,                 1.0332,              0.0062974,              0.0062974,              0.0062974
                    190,                0.52362,                0.37586,                0.92161,                0.92727,                0.94497,                0.96211,                0.81092,                0.71707,                0.35668,                 1.0252,              0.0062776,              0.0062776,              0.0062776
                    191,                0.51594,                0.37249,                0.91946,                0.93229,                0.95462,                0.95607,                0.80505,                0.71243,                0.35007,                 1.0215,              0.0062578,              0.0062578,              0.0062578
                    192,                0.50836,                0.37762,                0.91752,                0.92509,                0.94032,                0.95964,                0.81191,                0.72497,                0.36319,                 1.0196,               0.006238,               0.006238,               0.006238
                    193,                0.51558,                0.38633,                0.92579,                0.93928,                0.93134,                0.95881,                0.81623,                0.70746,                0.36534,                 1.0165,              0.0062182,              0.0062182,              0.0062182
                    194,                0.52032,                0.37888,                0.92308,                0.93782,                0.92416,                0.95924,                0.81165,                0.70515,                0.38579,                 1.0218,              0.0061984,              0.0061984,              0.0061984
                    195,                0.52215,                0.38648,                0.92519,                0.93843,                0.92224,                0.95565,                  0.819,                0.71048,                0.37143,                 1.0185,              0.0061786,              0.0061786,              0.0061786
                    196,                0.52034,                0.37936,                0.92778,                0.93755,                0.94042,                0.95629,                0.81574,                0.71719,                0.37439,                 1.0227,              0.0061588,              0.0061588,              0.0061588
